s_code_type_oid,s_code,s_name,m_code,m_code_type,m_code_type_oid,notes
1.2.840.114350.1.13.717.2.7.5.737384.263,2552924449,(HIS) WBC,6690-2,LOINC,2.16.840.1.113883.6.1,Leukocytes [#/volume] in Blood by Automated count
1.2.840.114350.1.13.717.2.7.5.737384.263,2552924455,(HIS) RBC,789-8,LOINC,2.16.840.1.113883.6.1,Erythrocytes [#/volume] in Blood by Automated count
1.2.840.114350.1.13.717.2.7.5.737384.263,2552924461,(HIS) HGB,718-7,LOINC,2.16.840.1.113883.6.1,Hemoglobin [Mass/volume] in Blood
1.2.840.114350.1.13.717.2.7.5.737384.263,2552924467,(HIS) HCT,4544-3,LOINC,2.16.840.1.113883.6.1,Hematocrit [Volume Fraction] of Blood by Automated count
1.2.840.114350.1.13.717.2.7.5.737384.263,2552924473,(HIS) MCV,787-2,LOINC,2.16.840.1.113883.6.1,MCV [Entitic volume] by Automated count
1.2.840.114350.1.13.717.2.7.5.737384.263,2552924479,(HIS) MCH,785-6,LOINC,2.16.840.1.113883.6.1,MCH [Entitic mass] by Automated count
1.2.840.114350.1.13.717.2.7.5.737384.263,2552924485,(HIS) MCHC,786-4,LOINC,2.16.840.1.113883.6.1,MCHC [Mass/volume] by Automated count
1.2.840.114350.1.13.717.2.7.5.737384.263,2552924491,(HIS) RDW,788-0,LOINC,2.16.840.1.113883.6.1,"Erythrocyte distribution width [Ratio] by Automated count (RDW-CV); lower confidence -- source name does not distinguish RDW-CV from RDW-SD (21000-5)"
1.2.840.114350.1.13.717.2.7.5.737384.263,24054226,(HIS) PLATELET COUNT,777-3,LOINC,2.16.840.1.113883.6.1,Platelets [#/volume] in Blood by Automated count
1.2.840.114350.1.13.717.2.7.5.737384.263,2552924497,Neutrophil,770-8,LOINC,2.16.840.1.113883.6.1,Neutrophils/100 leukocytes in Blood by Automated count (percent)
1.2.840.114350.1.13.717.2.7.5.737384.263,2552924503,Abs Neutrophil,751-8,LOINC,2.16.840.1.113883.6.1,Neutrophils [#/volume] in Blood by Automated count
