s_visit_type,m_visit_type,m_visit_type_code,m_visit_type_code_type,m_visit_type_code_type_oid
ambulatory,Outpatient Visit,OP,Visit,ohdsi.visit
emergency,Emergency Room Visit,ER,Visit,ohdsi.visit
inpatient,Inpatient Visit,IP,Visit,ohdsi.visit
outpatient,Outpatient Visit,OP,Visit,ohdsi.visit
urgentcare,Outpatient Visit,OP,Visit,ohdsi.visit
wellness,Outpatient Visit,OP,Visit,ohdsi.visit
home,Home Visit,OMOP4822459,Visit,ohdsi.visit
virtual,Telehealth,OMOP5556618,Visit,ohdsi.visit
snf,Non-hospital institution Visit,LTCP,Visit,ohdsi.visit
hospice,Non-hospital institution Visit,LTCP,Visit,ohdsi.visit
